[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:50:48 TP0] Prefill batch, #new-seq: 1, #new-token: 704, #cached-token: 0, token usage: 0.00, #running-req: 0, #queue-req: 0, cuda graph: False, input throughput (token/s): 3.18
[2026-04-02 11:50:49 TP0] Decode batch, #running-req: 1, #token: 832, token usage: 0.00, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 6.34, #queue-req: 0
[2026-04-02 11:50:49 TP0] Decode batch, #running-req: 1, #token: 896, token usage: 0.00, accept len: 2.88, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 341.54, #queue-req: 0
[2026-04-02 11:50:49 TP0] Decode batch, #running-req: 1, #token: 1024, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 267.60, #queue-req: 0
[2026-04-02 11:50:50 TP0] Decode batch, #running-req: 1, #token: 1088, token usage: 0.00, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 269.27, #queue-req: 0
[2026-04-02 11:50:50 TP0] Decode batch, #running-req: 1, #token: 1152, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 243.34, #queue-req: 0
[2026-04-02 11:50:50 TP0] Decode batch, #running-req: 1, #token: 1280, token usage: 0.00, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 257.70, #queue-req: 0
[2026-04-02 11:50:51 TP0] Decode batch, #running-req: 1, #token: 1344, token usage: 0.00, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 250.58, #queue-req: 0
[2026-04-02 11:50:51 TP0] Decode batch, #running-req: 1, #token: 1472, token usage: 0.00, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 261.06, #queue-req: 0
[2026-04-02 11:50:51 TP0] Decode batch, #running-req: 1, #token: 1536, token usage: 0.00, accept len: 2.30, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 273.24, #queue-req: 0
[2026-04-02 11:50:52 TP0] Decode batch, #running-req: 1, #token: 1600, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 246.69, #queue-req: 0
[2026-04-02 11:50:52 TP0] Decode batch, #running-req: 1, #token: 1728, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 285.22, #queue-req: 0
[2026-04-02 11:50:52 TP0] Decode batch, #running-req: 1, #token: 1792, token usage: 0.00, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 270.89, #queue-req: 0
[2026-04-02 11:50:53 TP0] Decode batch, #running-req: 1, #token: 1920, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 284.82, #queue-req: 0
[2026-04-02 11:50:53 TP0] Decode batch, #running-req: 1, #token: 1984, token usage: 0.00, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 327.64, #queue-req: 0
[2026-04-02 11:50:53 TP0] Decode batch, #running-req: 1, #token: 2112, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 226.44, #queue-req: 0
[2026-04-02 11:50:54 TP0] Decode batch, #running-req: 1, #token: 2176, token usage: 0.00, accept len: 2.00, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 236.31, #queue-req: 0
[2026-04-02 11:50:54 TP0] Decode batch, #running-req: 1, #token: 2240, token usage: 0.00, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 279.96, #queue-req: 0
[2026-04-02 11:50:54 TP0] Decode batch, #running-req: 1, #token: 2368, token usage: 0.00, accept len: 2.67, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 314.90, #queue-req: 0
[2026-04-02 11:50:55 TP0] Decode batch, #running-req: 1, #token: 2496, token usage: 0.00, accept len: 2.65, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 311.46, #queue-req: 0
[2026-04-02 11:50:55 TP0] Decode batch, #running-req: 1, #token: 2560, token usage: 0.00, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 247.92, #queue-req: 0
[2026-04-02 11:50:55 TP0] Decode batch, #running-req: 1, #token: 2688, token usage: 0.00, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 285.85, #queue-req: 0
[2026-04-02 11:50:56 TP0] Decode batch, #running-req: 1, #token: 2752, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 230.21, #queue-req: 0
[2026-04-02 11:50:56 TP0] Decode batch, #running-req: 1, #token: 2816, token usage: 0.00, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 247.27, #queue-req: 0
[2026-04-02 11:50:56 TP0] Decode batch, #running-req: 1, #token: 2944, token usage: 0.00, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 290.31, #queue-req: 0
[2026-04-02 11:50:57 TP0] Decode batch, #running-req: 1, #token: 3008, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 242.39, #queue-req: 0
[2026-04-02 11:50:57 TP0] Decode batch, #running-req: 1, #token: 3072, token usage: 0.00, accept len: 1.90, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 224.44, #queue-req: 0
[2026-04-02 11:50:57 TP0] Decode batch, #running-req: 1, #token: 3136, token usage: 0.00, accept len: 1.98, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 231.16, #queue-req: 0
[2026-04-02 11:50:58 TP0] Decode batch, #running-req: 1, #token: 3264, token usage: 0.00, accept len: 2.40, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 282.14, #queue-req: 0
[2026-04-02 11:50:58 TP0] Decode batch, #running-req: 1, #token: 3392, token usage: 0.00, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 332.66, #queue-req: 0
[2026-04-02 11:50:58 TP0] Decode batch, #running-req: 1, #token: 3456, token usage: 0.00, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 279.80, #queue-req: 0
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3584, token usage: 0.00, accept len: 2.48, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 291.10, #queue-req: 0
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3648, token usage: 0.00, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 334.44, #queue-req: 0
[2026-04-02 11:50:59 TP0] Decode batch, #running-req: 1, #token: 3776, token usage: 0.00, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 299.76, #queue-req: 0
