[2026-04-02 11:58:28] INFO:     127.0.0.1:35568 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35576 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35588 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35596 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35602 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35614 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35626 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:28] INFO:     127.0.0.1:35638 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:58:29 TP0] Prefill batch, #new-seq: 1, #new-token: 448, #cached-token: 128, token usage: 0.00, #running-req: 0, #queue-req: 0, cuda graph: False, input throughput (token/s): 1.53
[2026-04-02 11:58:29 TP0] Prefill batch, #new-seq: 7, #new-token: 2944, #cached-token: 1408, token usage: 0.00, #running-req: 1, #queue-req: 0, cuda graph: False, input throughput (token/s): 1021.10
[2026-04-02 11:58:30 TP0] Decode batch, #running-req: 8, #token: 4864, token usage: 0.00, accept len: 2.39, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 1.88, #queue-req: 0
[2026-04-02 11:58:30 TP0] Decode batch, #running-req: 8, #token: 5568, token usage: 0.00, accept len: 2.55, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 1521.20, #queue-req: 0
[2026-04-02 11:58:31 TP0] Decode batch, #running-req: 8, #token: 6400, token usage: 0.00, accept len: 2.26, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1356.41, #queue-req: 0
[2026-04-02 11:58:31 TP0] Decode batch, #running-req: 8, #token: 7040, token usage: 0.00, accept len: 2.06, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1222.36, #queue-req: 0
[2026-04-02 11:58:32 TP0] Decode batch, #running-req: 8, #token: 7616, token usage: 0.00, accept len: 2.02, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1187.73, #queue-req: 0
[2026-04-02 11:58:32 TP0] Decode batch, #running-req: 8, #token: 8192, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1218.12, #queue-req: 0
[2026-04-02 11:58:33 TP0] Decode batch, #running-req: 8, #token: 9024, token usage: 0.01, accept len: 2.11, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1240.40, #queue-req: 0
[2026-04-02 11:58:34 TP0] Decode batch, #running-req: 8, #token: 9664, token usage: 0.01, accept len: 2.13, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1252.72, #queue-req: 0
[2026-04-02 11:58:34 TP0] Decode batch, #running-req: 8, #token: 10304, token usage: 0.01, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1261.27, #queue-req: 0
[2026-04-02 11:58:35 TP0] Decode batch, #running-req: 8, #token: 11008, token usage: 0.01, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1244.28, #queue-req: 0
[2026-04-02 11:58:35 TP0] Decode batch, #running-req: 8, #token: 11712, token usage: 0.01, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1235.14, #queue-req: 0
[2026-04-02 11:58:36 TP0] Decode batch, #running-req: 8, #token: 12352, token usage: 0.01, accept len: 2.03, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1191.80, #queue-req: 0
[2026-04-02 11:58:36 TP0] Decode batch, #running-req: 8, #token: 13056, token usage: 0.01, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1388.89, #queue-req: 0
[2026-04-02 11:58:37 TP0] Decode batch, #running-req: 8, #token: 13824, token usage: 0.01, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1312.65, #queue-req: 0
[2026-04-02 11:58:37 TP0] Decode batch, #running-req: 8, #token: 14528, token usage: 0.01, accept len: 2.29, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1339.33, #queue-req: 0
[2026-04-02 11:58:38 TP0] Decode batch, #running-req: 8, #token: 15296, token usage: 0.01, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1354.06, #queue-req: 0
[2026-04-02 11:58:38 TP0] Decode batch, #running-req: 8, #token: 15936, token usage: 0.01, accept len: 2.19, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1271.80, #queue-req: 0
[2026-04-02 11:58:39 TP0] Decode batch, #running-req: 8, #token: 16832, token usage: 0.01, accept len: 2.26, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1312.74, #queue-req: 0
[2026-04-02 11:58:40 TP0] Decode batch, #running-req: 8, #token: 17472, token usage: 0.01, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1275.60, #queue-req: 0
[2026-04-02 11:58:40 TP0] Decode batch, #running-req: 8, #token: 18112, token usage: 0.01, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1262.37, #queue-req: 0
[2026-04-02 11:58:41 TP0] Decode batch, #running-req: 8, #token: 18880, token usage: 0.01, accept len: 2.21, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1280.63, #queue-req: 0
[2026-04-02 11:58:41 TP0] Decode batch, #running-req: 8, #token: 19520, token usage: 0.01, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1216.32, #queue-req: 0
[2026-04-02 11:58:42 TP0] Decode batch, #running-req: 8, #token: 20096, token usage: 0.01, accept len: 2.12, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1232.14, #queue-req: 0
[2026-04-02 11:58:42 TP0] Decode batch, #running-req: 8, #token: 20928, token usage: 0.01, accept len: 2.11, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1222.95, #queue-req: 0
[2026-04-02 11:58:43 TP0] Decode batch, #running-req: 8, #token: 21632, token usage: 0.01, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 1397.61, #queue-req: 0
[2026-04-02 11:58:43 TP0] Decode batch, #running-req: 8, #token: 22336, token usage: 0.01, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1291.88, #queue-req: 0
[2026-04-02 11:58:44 TP0] Decode batch, #running-req: 8, #token: 23040, token usage: 0.01, accept len: 2.27, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 1302.36, #queue-req: 0
[2026-04-02 11:58:45 TP0] Decode batch, #running-req: 8, #token: 23872, token usage: 0.01, accept len: 2.37, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1355.86, #queue-req: 0
[2026-04-02 11:58:45 TP0] Decode batch, #running-req: 8, #token: 24576, token usage: 0.01, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1273.60, #queue-req: 0
[2026-04-02 11:58:46 TP0] Decode batch, #running-req: 8, #token: 25408, token usage: 0.02, accept len: 2.57, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 1458.33, #queue-req: 0
[2026-04-02 11:58:46 TP0] Decode batch, #running-req: 8, #token: 26048, token usage: 0.02, accept len: 2.22, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1267.88, #queue-req: 0
