[2026-04-02 15:14:10] INFO:     127.0.0.1:59882 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 15:14:10 TP0] Prefill batch, #new-seq: 1, #new-token: 666, #cached-token: 0, token usage: 0.00, #running-req: 0, #queue-req: 0, cuda graph: False, input throughput (token/s): 1.45
[2026-04-02 15:14:11 TP0] Decode batch, #running-req: 1, #token: 769, token usage: 0.00, accept len: 2.73, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 0.60, #queue-req: 0
[2026-04-02 15:14:11 TP0] Decode batch, #running-req: 1, #token: 902, token usage: 0.00, accept len: 3.25, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 306.41, #queue-req: 0
[2026-04-02 15:14:12 TP0] Decode batch, #running-req: 1, #token: 999, token usage: 0.00, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 227.91, #queue-req: 0
[2026-04-02 15:14:12 TP0] Decode batch, #running-req: 1, #token: 1104, token usage: 0.00, accept len: 2.70, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 254.64, #queue-req: 0
[2026-04-02 15:14:13 TP0] Decode batch, #running-req: 1, #token: 1220, token usage: 0.00, accept len: 2.83, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 268.79, #queue-req: 0
[2026-04-02 15:14:13 TP0] Decode batch, #running-req: 1, #token: 1300, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 194.16, #queue-req: 0
[2026-04-02 15:14:13 TP0] Decode batch, #running-req: 1, #token: 1385, token usage: 0.00, accept len: 2.05, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 191.85, #queue-req: 0
[2026-04-02 15:14:14 TP0] Decode batch, #running-req: 1, #token: 1468, token usage: 0.00, accept len: 2.15, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 200.77, #queue-req: 0
[2026-04-02 15:14:14 TP0] Decode batch, #running-req: 1, #token: 1544, token usage: 0.00, accept len: 1.88, accept rate: 0.47, cuda graph: True, gen throughput (token/s): 175.05, #queue-req: 0
[2026-04-02 15:14:15 TP0] Decode batch, #running-req: 1, #token: 1626, token usage: 0.00, accept len: 2.02, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 191.58, #queue-req: 0
[2026-04-02 15:14:15 TP0] Decode batch, #running-req: 1, #token: 1741, token usage: 0.00, accept len: 2.90, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 237.94, #queue-req: 0
[2026-04-02 15:14:16 TP0] Decode batch, #running-req: 1, #token: 1836, token usage: 0.00, accept len: 2.35, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 217.46, #queue-req: 0
[2026-04-02 15:14:16 TP0] Decode batch, #running-req: 1, #token: 1953, token usage: 0.00, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 271.23, #queue-req: 0
[2026-04-02 15:14:16 TP0] Decode batch, #running-req: 1, #token: 2068, token usage: 0.00, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 270.93, #queue-req: 0
